Reported Time
Without Indexing
"95242 rows retrieved starting from 1 in 1 s 641 ms (execution: 1 s 52 ms, fetching: 589 ms)"
Marek Kondrat,21
Margaret Martin,21
Margot Kidder,21
Marilyn Coleman,21
Mario David,21
Mario Ernesto Sánchez,21
Mark Elwes,21
Mark Little,21
Mark Taylor,21
Mark Wheeler,21
Martha Plimpton,21
Mary Benoit,21
Mary Boylan,21
Mary Ellen Brighton,21
Masayuki Yui,21
Mason Adams,21
Matt Frewer,21
Matthias Fuchs,21
Matyelok Gibbs,21
Maurice Colbourne,21
Melissa Newman,21
Mercedes Ruehl,21
Michael Butler,21
Michael Carr,21
Michael Colyar,21
Michael Copeman,21
Michael Horse,21
Michael Jenn,21
Michael Mantell,21
Michael Medwin,21
Michael Ontkean,21
Michael Rogers,21
Michael Visaroff,21
Michael Wilding,21
Michael Wilding Sr.,21
Michelle Phillips,21
Micole Mercurio,21
Mike Lookinland,21
Mike Nawrocki,21
Mildred Clinton,21
Milla Jovovich,21
Mindy Cohn,21
Mitch Pileggi,21
Mitch Ryan,21
Moe Howard,21
Morgan Fairchild,21
Nancy Crane,21
Natasha Richardson,21
Nathan Lane,21
Ned Glass,21
Neil Dickson,21
Nelly Borgeaud,21
Nesbitt Blaisdell,21
Nick Faltas,21
Nicole Garcia,21
Nigel Hawthorne,21
Nobuo Kaneko,21
Nolan Leary,21
Norihei Miki,21
Norma Dell'Agnese,21
Norma Donaldson,21
Norman Rodway,21
Oliver Stone,21
Pat Flaherty,21
Patricia Clarkson,21
Patricia Collins,21
Patrick Laborteaux,21
Patrick Newell,21
Paula Shaw,21
Paul Barber,21
Paul Bartel,21
Paul Bradley,21
Paul Hampton,21
Paul Keith,21
Paul Langton,21
Paul Sonkkila,21
Paul Stanley,21
Percy Herbert,21
Pete Postlethwaite,21
Peter Cook,21
Peter Criss,21
Peter Cullen,21
Peter Marinker,21
Peter Paul Eastman,21
Phil Collins,21
Phil Daniels,21
Philip Jackson,21
Philippe Laudenbach,21
Phil Schumacher,21
Phil Vischer,21
Pierre Pieral,21
Ralph Lewis,21
Randall Miller,21
Randee Heller,21
Raye Birk,21
Ray Iannicelli,21
Ray Liotta,21
Raynor Scheine,21
Read Morgan,21
Reid Cruickshanks,21
Rémy Girard,21
Renee Lippin,21
Richard E. Grant,21
Richard Moore,21
Ricky Jay,21
Ric Mancini,21
Rita Karin,21
Ritchie Montgomery,21
Robbi Chong,21
Robert Doran,21
Robert Kino,21
Robert Quarry,21
Roberts Blossom,21
Robert Swann,21
Robert Thomas,21
Robert Towers,21
Rodopho (Rudy) Acosta,21
Roger Bowen,21
Roger Ostime,21
Roger Serbagi,21
Roland Got,21
Ron Canada,21
Ron Stein,21
Rosemary De Angelis,21
Roy Anderson,21
Rupert Graves,21
Samuel Berkowitz,21
Sandra Voe,21
Sarah Buxton,21
Sarah Patterson,21
Scatman Crothers,21
Scott Bloom,21
Scott Walker,21
Sean Pertwee,21
Sela Ward,21
Severn Darden,21
Sheila Rogers,21
Shelagh Fraser,21
Sid Marion,21
Sidney Lassick,21
Sonia Braga,21
Stacy Ferguson,21
Steven Geray,21
Steven Mackintosh,21
Steven Weber,21
Stina Ekblad,21
Strawn Bovee,21
Stuart Margolin,21
Sully Boyar,21
Teda Bracci,21
Terry Funk,21
Terry O'Connor,21
Thelma Pelish,21
Thomas F. Wilson,21
Thomas Ikeda,21
Thomas Noguchi,21
Tige Andrews,21
Tim McInnerny,21
Tim Robertson,21
Tim Stack,21
Tom Bower,21
Tom Chiu,21
Tommy Hinkley,21
Tom Towles,21
Tony Craig,21
Tony Devon,21
Tony Shalhoub,21
Tony Todd,21
Toru Nagai,21
Trevor Laird,21
Ulf Johansson,21
Uri Gavriel,21
Vic Tayback,21
Victoria Racimo,21
Victor Slezak,21
Vince Howard,21
Ving Rhames,21
Vito D'Ambrosio,21
Vittorio De Sica,21
Vladek Sheybal,21
Wally Patch,21
Walter Burke,21
Walter Chiari,21
Warren Oates,21
William Armstrong,21
William Hope,21
William Marquez,21
William Powell,21
William Sadler,21
William Traylor,21
William Zappa,21
William Zuckert,21
Willie Aames,21
Will Zahrn,21
Wilson Benge,21
Yuji Okumoto,21
Yves Jacques,21
Zach Galligan,21
Zaid Farid,21
Zina Bethune,21
Abel Woolrich,20
Adam Nelson,20
Aidan Quinn,20
Ajay Naidu,20
Alan Manson,20
Alan Mowbray,20
Alan Rickman,20
Alberto Sordi,20
Alec Baldwin,20
Alfredo De Quesada,20
Alice Backes,20
Alison Lynn,20
Alison Steadman,20
Amanda Donohoe,20
Amanda Plummer,20
Amzie Strickland,20
Andreas Voutsinas,20
André Engel,20
Andrew Whaley,20
Andy Lucas,20
Anna Chlumsky,20
Anna Levine,20
Anna Manahan,20
Anna-Maria Gherardi,20
Ann Codee,20
Anne Baxter,20
Anne Francis,20
Anne Jackson,20
Anne Lockhart,20
Annette Bening,20
Annette O'Toole,20
Ann McDonough,20
Ann Morell,20
Ann Rye,20
Anthony Geary,20
Antonio García,20
Antony Holland,20
Arell Blanton,20
Arlene Francis,20
Arnold Diamond,20
Arthur Hunnicutt,20
Arthur Treacher,20
Art LaFleur,20
Arturo Gil,20
Babs Chula,20
Badja Djola,20
Barbara Garrick,20
Barbara Morrison,20
Barbara Sukowa,20
Barbre Dowling,20
Barry Cahill,20
Barry Flatman,20
Barry Kelley,20
Beatrice Maude,20
Belita Moreno,20
Benicio Del Toro,20
Ben Miles,20
Bernard Giraudeau,20
Bernard Musson,20
Beth Grant,20
Bette Henritze,20
Betty Grable,20
Beverly Todd,20
Bhasker Patel,20
Biff Yeager,20
Bill Mitchell,20
Billy Zane,20
Blu Mankuma,20
Bob Bainborough,20
Bob Larkin,20
Boris Isarov,20
Boris Leskin,20
Brett Baxter Clark,20
Brian McNamara,20
Brian O'Connor,20
Bruce Nozick,20
Buckley Norris,20
Bud Osborne,20
Burnell Tucker,20
Campbell Scott,20
Carla Gugino,20
Carl Ciarfalio,20
Caroline Lagerfelt,20
Carolyn Coates,20
Carroll Spinney,20
Cary-Hiroyuki Tagawa,20
Catherine Oxenberg,20
Cedric Hardwicke,20
Charles Halton,20
Charles Victor,20
Charlie Picerni,20
Cheap Trick,20
Chico Marx,20
Chris Elliott,20
Chris Owens,20
Christian Clemenson,20
Chuck Cooper,20
Clare Higgins,20
Cleavant Derricks,20
Clelia Matania,20
Cliff Lyons,20
Coleen Maloney,20
Colin Quinn,20
Craig Fairbrass,20
Cynthia Geary,20
Cynthia Harris,20
Cynthia Szigeti,20
Dakota Fanning,20
Dallas Adams,20
Dana Elcar,20
Dan Hicks,20
Daniel Auteuil,20
Daniel Webb,20
Danny Kortchmar,20
Dave Foley,20
Dave Goelz,20
Dave Jensen,20
David Blackwell,20
David Bradley,20
David Cann,20
David Chandler,20
David Duchovny,20
David Essex,20
David Fresco,20
David Leisure,20
David McCharen,20
David Morrissey,20
David Ngoombujarra,20
David Sharpe,20
David Warshofsky,20
Debbie Rochon,20
Deirdre O'Connell,20
Delta Burke,20
Dennis Blanch,20
Dennis Cockrum,20
Derek Keurvost,20
Dermot Mulroney,20
Diana Douglas,20
Diane Varsi,20
Dick Cusack,20
Dick Sargent,20
Dick Simmons,20
Dinah Shore,20
Dolores Drake,20
Dominic Hoffman,20
Donald Kerr,20
Don Calfa,20
Don Grant,20
Don Harvey,20
Donna Hardy,20
Donna Lynn Leavy,20
Dorothy McGuire,20
Dortha Duckworth,20
Doug Hutchison,20
Dr. Richard Grossman,20
Dwight Marfield,20
Dylan McDermott,20
Eddie Velez,20
Edmund Burns,20
Edward Bunker,20
Edward Earle,20
Edward Tudor-Pole,20
Edwin Hodgeman,20
Eiji Kusuhara,20
Elaine Kagan,20
Elisabeth Welch,20
Elizabeth Hubbard,20
Elle Fanning,20
Emilio Fernandez,20
Emily Cho,20
Enid Markey,20
Erica Yohn,20
Eric Bogosian,20
Erik Schumann,20
Estelle Harris,20
Eugène Berthier,20
Everett McGill,20
Faye Grant,20
Fiona Lewis,20
Fran Brill,20
Frances Barber,20
Francesco Angrisano,20
Frances Fisher,20
Francine Beers,20
Franco Fantasia,20
François Cluzet,20
Frank Lackteen,20
Frank Pettingell,20
Frank Whaley,20
Frederic Downs,20
Fred Smith,20
Gabrielle Reidy,20
Gail O'Grady,20
Gail Strickland,20
Gary Dubin,20
Gary Johnson,20
Gary Littlejohn,20
Gary Reineke,20
Gaylord "Steve" Pendleton,20
Geena Davis,20
Gene Mack,20
George Bartenieff,20
George 'Buck' Flower,20
George Chan,20
George Hartmann,20
George Mikell,20
George Moffatt,20
George Riley,20
Gina Gershon,20
Gloria Holden,20
Graham McTavish,20
Grant Heslov,20
Grant Taylor,20
Greg Ellis,20
Gregg Edelman,20
Greg Kelly,20
Grégoire Aslan,20
Gregor Fisher,20
Groucho Marx,20
G.W. Bailey,20
Hank Garrett,20
Hans Christian Blech,20
Hardy Kruger,20
Harley Cross,20
Harpo Marx,20
Harry Caesar,20
Harry Cording,20
Harry Northup,20
Harry Teinowitz,20
Haruo Nakajima,20
Haruo Tanaka,20
H.B. Warner,20
Helene Alexandridis,20
Helen Slater,20
Henry Woolf,20
Herman Boden,20
Holly Near,20
House Jameson,20
Hugh Grant,20
Hugh Marlowe,20
Illeana Douglas,20
Ira Wheeler,20
Jack Angel,20
Jack Larson,20
Jack Starrett,20
Jacques Ciron,20
Jake D'Arcy,20
James Ryan,20
James Tolkan,20
Jane Dulo,20
Jane Lynch,20
Jane Morris,20
Jason Patric,20
Jay Gerber,20
Jeannie Elias,20
Jean Smart,20
Jean-Yves Berteloot,20
Jeff Bennett,20
Jerry Brutsche,20
Jerry Gatlin,20
Jerry Houser,20
Jerry Nelson,20
Jess G. Henecke,20
Jim Davidson,20
Jim Dunk,20
Jim Jansen,20
Jim Jarmusch,20
Jim Metzler,20
Jimmy Gardner,20
Jim Wilkey,20
Ji-Tu Cumbuka,20
J. Lewis Smith,20
Joanne Whalley,20
John Chappell,20
John Dierkes,20
John Fiore,20
John Forbes-Robertson,20
John Furlong,20
John Gilgreen,20
John Hallam,20
John Hawkes,20
John Lehne,20
John Levin,20
John Lydon,20
John Moio,20
Johnny Galecki,20
Johnny Popwell Sr.,20
John Orchard,20
John Paul,20
John Seitz,20
John Solari,20
John Steiner,20
John Wengraf,20
John Westbrook,20
Jordan Christopher,20
Jose Perez,20
Joseph Bologna,20
Josephine Chaplin,20
Julie Janney,20
Justine Clarke,20
Kamala Lopez-Dawson,20
Karin Baal,20
Katharina Thalbach,20
Kathleen Chalfant,20
Kathy Burke,20
Katy Boyer,20
Kelly Hunter,20
Kenneth Nelson,20
Ken Stott,20
Kevin Corrigan,20
Kevin Dunn,20
Kevin Pollak,20
Larry Duran,20
Larry Parks,20
Laurent Grevill,20
Lee Arenberg,20
Lee Delano,20
Lee Garlington,20
Lee Tung Foo,20
Len Cariou,20
Leo G Carroll,20
Leonard Mudie,20
Leonard Stone,20
Leslie Hope,20
Leslie Lyles,20
Lewis Black,20
Lewis Fitz-Gerald,20
Lewis Stone,20
Li Gong,20
Linda Harrison,20
Linda Kerns,20
Lisa Dodson,20
Lisa Jane Persky,20
Lloyd Berry,20
Lois Collier,20
Loretta Devine,20
Lori Singer,20
Loudon Wainwright III,20
Luana Patten,20
Ludger Pistor,20
Luis Guzman,20
Lulu,20
Lumsden Hare,20
Mackenzie Astin,20
Mackenzie Gray,20
Madge Kennedy,20
Malcolm McLaren,20
Manuela Velasco,20
Marcia Bennett,20
Marcia Diamond,20
Margaret Lacey,20
Maria Ricossa,20
Maria Schneider,20
Marie-Christine Barrault,20
Marie Dubois,20
Mario Brega,20
Mario Joyner,20
Mario Roberts,20
Marisa Miller,20
Marj Dusay,20
Mark Pellegrino,20
Mark Soper,20
Marshall Neilan,20
Mary Elizabeth Mastranton...,20
Mary Gregory,20
Mary Margaret Lewis,20
Mary McDonnell,20
Mary Munday,20
Mary Treen,20
Matthew Kimbrough,20
Matthew King,20
Matthew Lawrence,20
Matthew Modine,20
Matthew Perry,20
Matt King,20
Matt McCoy,20
Max Perlich,20
Max Wright,20
Meagen Fay,20
Melvin Van Peebles,20
Meshach Taylor,20
Michael Burgess,20
Michael Crabtree,20
Michael De Lorenzo,20
Michael Kehoe,20
Michael Mellinger,20
Michael Nesmith,20
Michael Wincott,20
Mike Moroff,20
Mike Warren,20
Miles Mander,20
Milton Frome,20
Mimi Kennedy,20
Mimi Rogers,20
Moyna MacGill,20
Muni,20
Nancy Ginger,20
Nancy Nevinson,20
Nancy Travis,20
Nathan Davis,20
Ned Schmidtke,20
Neil Dudgeon,20
Neil Patrick Harris,20
Neil Ross,20
Nick Cave,20
Nick Hobbs,20
Nick Nichols,20
Nick Tate,20
Nigel Planer,20
Nina Siemaszko,20
Noel O'Donovan,20
Obba Babatundé,20
O.J. Simpson,20
Oliver Ford Davies,20
Oliver Platt,20
Ollie O'Toole,20
Oskar Homolka,20
Pamela Reed,20
Pamela Salem,20
Pamella D'Pella,20
Pat McNamara,20
Patrice Chéreau,20
Patrick Troughton,20
Patrick Van Horn,20
Patrick Wright,20
Pat Skipper,20
Paul Calderon,20
Paul Cook,20
Paul Daniel,20
Paul Frees,20
Paul Jabara,20
Paul Walker,20
Penelope Ann Miller,20
Perry Benson,20
Pertti Sveholm,20
Peter Benson,20
Peter Capell,20
Peter Eyre,20
Peter Franke,20
Peter Masterson,20
Peter Outerbridge,20
Philip Abbott,20
Philip Craig,20
Pinto Colvig,20
P.J. Brown,20
Preston Foster,20
Preston S. Foster,20
Priscilla Pointer,20
Pruitt Taylor Vince,20
Reta Shaw,20
Richard Cubison,20
Richard Foronjy,20
Richard Herd,20
Richard James Baker,20
Richard Moll,20
Richard Ney,20
Richard Ridings,20
Richard Roat,20
Richenda Carey,20
Richmond Hoxie,20
Rick Moranis,20
Rita Gould,20
Robert Clotworthy,20
Robert Helpmann,20
Robert Jaffe,20
Robert La Sardo,20
Robert Rusler,20
Robert Sterling,20
Robert Trebor,20
Robin Raymond,20
Robin Wright Penn,20
Rod McCary,20
Rodney Dangerfield,20
Roger Dunn,20
Roger Grimsby,20
Roger Hammond,20
Ron Rondell,20
Rosette,20
Royce Wallace,20
Roy Milton Davis,20
Ruben Garfias,20
Rüdiger Vogler,20
Ruth Buzzi,20
Salvador Sanchez,20
Sam Gilman,20
Sammy White,20
Samson Jorah,20
Sandra Bernhard,20
Sandy Gore,20
Sandy Johnson,20
Sarah Polley,20
Saro Urzì,20
Saul Williams,20
Scott Thomson,20
Sean Chapman,20
Sean Young,20
Selma Diamond,20
S. Epatha Merkerson,20
Sergio Castellitto,20
Sheila Paterson,20
Shelley Long,20
Shelly Desai,20
Sian Thomas,20
Sid Vicious,20
"Smiling" Jack Smith,20
Sonja Smits,20
Soto Joe Hugh,20
Stacy Peralta,20
Stanley Grover,20
Stanley Townsend,20
Stephen Mailer,20
Stephen Murray,20
Stephen Root,20
Steve Alterman,20
Steve Buscemi,20
Steven Ford,20
Steven Seagal,20
Steven Wright,20
Steve Railsback,20
Steve Whittaker,20
Susan Blommaert,20
Susie Essman,20
Suzanna Hamilton,20
Sy Richardson,20
Taylor Gilbert,20
T-Bone Burnett,20
Ted de Corsia,20
Ted Knight,20
Ted Levine,20
Ted Maynard,20
Tex Driscoll,20
Thalmus Rasulala,20
Tim Potter,20
Tim Quill,20
Tim Roth,20
Tim Russ,20
Tino Insana,20
Tobin Bell,20
Todd Allen,20
Tom Lawrence,20
Tom Nowicki,20
Tom Steele,20
Tony Bonner,20
Tony di Benedetto,20
Tony Giorgio,20
Tony Hawk,20
Tony Roberts,20
Tor Johnson,20
Ugo Fangareggi,20
Ulla Jacobsson,20
Venantino Venantini,20
Verda Bridges,20
Victor Buono,20
Victoria Carroll,20
Vincent Barbi,20
Vincent Grass,20
Vladimir Bibic,20
Wallace Langham,20
W. Beal Wong,20
Wendell Pierce,20
William B. Davis,20
William Redfield,20
William Roerick,20
Will Wright,20
Wil Wheaton,20
Yvan Ponton,20
Zack Norman,20
Zitto Kazann,20
Adam Sandler,19
Adam Taylor Gordon,19
Adele St. Maur,19
Adrien Brody,19
Akira Terao,19
Alain Frerot,19
Alan Cox,19
Albert Hague,19
Albert Salmi,19
Al Cerullo,19
Alexandr Pyatkov,19
Alexis Arquette,19
Allen Covert,19
Alphonse Martell,19
Amelda Brown,19
A. Michael Baldwin,19
Amy Dalby,19
Ancel Cook,19
Anders Ek,19
Andrea Prodan,19
Andre Braugher,19
André Lacoste,19
Andrzej Borkowski,19
Angela Alvarado,19
Angela Bassett,19
Angela Moya,19
Angel Salazar,19
Angus Scrimm,19
Ann Magnuson,19
Anthony Bishop,19
Anthony Holland,19
Barbara Iley,19
Barclay Doyle,19
Barry Bernard,19
Bart the Bear,19
Baxter Harris,19
B.B. King,19
B.D. Wong,19
Beata Tyszkiewicz,19
Benson W. Terry,19
Bert Michaels,19
Bert Williams,19
Bill Allen,19
Bill Marcus,19
Bill Nunn,19
Bill Raymond,19
Bill Thornbury,19
Billy Bob Thornton,19
Bobby Brown,19
Bob Jennings,19
Bob O'Connell,19
Bono,19
Boris McGiver,19
Brad Garrett,19
Brad Pitt,19
Brian Wilde,19
Britt Ekland,19
Brontis Jodorowsky,19
Brooke Bundy,19
Bruce Boa,19
Bruce Jenner,19
Bruce Ramsay,19
Bryan Cranston,19
Bryan Forbes,19
Burton Gilliam,19
Buzz Aldrin,19
Captain Haggerty,19
Carel Struycken,19
Carl Lewis,19
Carol Cleveland,19
Caroline Kava,19
Casey Kasem,19
Chad Everett,19
Charles Condou,19
Charles Denner,19
Charles de Vries,19
Charles Lampkin,19
Charlie Hall,19
Chris Lemmon,19
Christiane Minazzoli,19
Christopher Atkins,19
Christopher Neame,19
Chuck Pierce,19
Clark Gregg,19
Claudine Berg,19
Clem Bevans,19
Cliff Bemis,19
Costas Mandylor,19
Cree Summer,19
Cuba Gooding Jr.,19
Cynthia Baker,19
Cynthia Belgrave,19
Damián Alcázar,19
Damon Wayans,19
Daniel Flynn,19
Danielle Harris,19
Daniel Quinn,19
Daniel Stern,19
Danny "Big" Black,19
Danny De La Paz,19
Danny Elfman,19
Danny Mann,19
Danny Nelson,19
Danny Stone,19
Danny Wong,19
Dario Cantarelli,19
David Berner,19
David Byrd,19
David Caruso,19
David Doty,19
David Dukes,19
David Graham,19
David Healy,19
David Herman,19
David James,19
David J. Steinberg,19
David Pasquesi,19
David Spade,19
David Wagner,19
David Walker,19
David Williams,19
Dawnn Lewis,19
Dennis Burkley,19
Dennis Letts,19
Dennis Lili,19
Derek Griffiths,19
Dick Powell,19
Dirk Bogarde,19
Doc Erickson,19
Don Adams,19
Donald Li,19
Donald Moffat,19
Don Blackman,19
Don Castle,19
Don McKellar,19
Don Megowan,19
Dr. Joyce Brothers,19
Duncan McLeod,19
Edith Atwater,19
Edward James Hyland,19
Edwin Neal,19
Eileen Ryan,19
Elizabeth Lawrence,19
Ellis Williams,19
Eloy Casados,19
Elva Mai Hoover,19
Emma Thompson,19
Eric Fink,19
Erich Anderson,19
Erick Avari,19
Ernesto Gomez Cruz,19
Ernie Lively,19
Ethan Hawke,19
Eugene Collier,19
Felicity Huffman,19
Felix Silla,19
Florinda Bolkan,19
Floyd 'Red Crow' Westerma...,19
Francesco Carnelutti,19
Frances Foster,19
Franco Columbu,19
Frank A Miller,19
Frank Girardeau,19
Frank Harper,19
Frank Hoyt Taylor,19
Freda Dowie,19
Fred Clark,19
Frederic Pierrot,19
Fred Kelsey,19
Gayle Garfinkle,19
Geff Francis,19
Gene Dynarski,19
Gene Tierney,19
George Boyce,19
George Maguire,19
George O'Hanlon,19
George Orrison,19
Gerald Owens,19
Giuliano Gemma,19
Glenn Strange,19
Gordon Hurst,19
Gordon MacDonald,19
G. Pat Collins,19
Grace Hayle,19
Greg Collins,19
Greg Germann,19
Hans Martin Stier,19
Harold J. Stone,19
Harold Perrineau Jr.,19
Harry Bugin,19
Harry Carter,19
Haruko Sugimura,19
Harvey Fierstein,19
Heather McComb,19
Heinz Hopf,19
Henry Brown,19
Henry B. Walthall,19
Hilary Strang,19
Hope Davis,19
Hugh Hurd,19
Hugh Keays-Byrne,19
Hugh Millais,19
Iain Glen,19
Irene Olga Lopez,19
Isabelle Sadoyan,19
Isa Miranda,19
Ivan G'Vera,19
Jack A. O'Connell,19
Jack Kosslyn,19
Jack Newman,19
Jack O'Connell,19
Jack Ong,19
Jack Watson,19
Jacob Tierney,19
Jake Weber,19
James B. Leong,19
James Bree,19
James Dukas,19
James Lally,19
James Millican,19
James Victor,19
Jamey Sheridan,19
Jan Arvan,19
Jane Russell,19
Janet Carroll,19
Janet McTeer,19
Jan Hooks,19
Jan Merlin,19
Jan-Olof Strandberg,19
Janusz Gajos,19
Jared Harris,19
Jay C. Flippen,19
JD Cullum,19
Jean-Hugues Anglade,19
Jean Lanier,19
Jean-Pierre Bacri,19
Jeff Cohen,19
Jeff Perry,19
Jennifer Warren,19
Jenny Robertson,19
Jeremy Akerman,19
Jerry James,19
Jerry O'Connell,19
Jerry Orbach,19
Jessalyn Gilsig,19
Jess Hahn,19
Jill Baker,19
Jill Hennessy,19
Jim Farley,19
Jimmy Ray Pickens,19
Jim Paul Eilers,19
J. Mark Donaldson,19
J.M. Kerrigan,19
Joan Blackham,19
Joan Greenwood,19
Jo Ann Worley,19
Jodi Benson,19
Jodie Markell,19
Joe Guzaldo,19
Joe Ranft,19
Joey Forman,19
John Abineri,19
John Costelloe,19
John Finn,19
John Finnegan,19
John Fujioka,19
John Garber,19
John Heffernan,19
John Indrisano,19
John Leguizamo,19
John McCurry,19
John Megna,19
John Patrick Maloney,19
John Rand,19
John Schneider,19
John Sharp,19
John Shrapnel,19
Jonathan Pienaar,19
Jonathan Silverman,19
Jon Kasdan,19
Jon Korkes,19
Jordan Baker,19
Jordan Rhodes,19
Jorge Zepeda,19
Josh Hamilton,19
Josh Pais,19
Josh Richman,19
Josiane Balasko,19
Joy Coghill,19
J.P. Romano,19
Juliet Stevenson,19
Julius Harris,19
Karl Wiedergott,19
Kate McGregor-Stewart,19
Kathryn Witt,19
Keith Morris,19
Ken Berry,19
Kenneth Tsang,19
Kent Rogers,19
Kevin Brennan,19
Kevin Connolly,19
Kevin McNulty,19
Kim Delaney,19
Kim Myers,19
Kirsten Dunst,19
Kirstie Alley,19
Kynaston Reeves,19
Larry Gates,19
Larry John Meyers,19
Larry Miller,19
Lars von Trier,19
Laurence Février,19
Laurence Luckinbill,19
Lauren Holly,19
Lawrence Z. Dane,19
Leonard Bremen,19
Leonard Jackson,19
Leonard Rossiter,19
Lesley Manville,19
Lewis Charles,19
Liisa Repo-Martell,19
Lillian Bronson,19
Lindsay Anderson,19
Lindsay Duncan,19
Lindze Letherman,19
Lionel Belmore,19
Lloyd White,19
Lola Pashalinski,19
Lonnie R. Smith,19
Lon Poff,19
Lothaire Bluteau,19
Louis Seigner,19
Lucy,19
Luke Halpin,19
Macaulay Culkin,19
Madeleine Taylor Holmes,19
Maggie Han,19
Manuel Padilla,19
Marc Macaulay,19
Margaret Nelson,19
Margaret Rutherford,19
Margaux Hemingway,19
Marietta Marich,19
Marilyn Hassett,19
Marina Sirtis,19
Mario Van Peebles,19
Marjorie Main,19
Mark Boone Jr.,19
Mark Goddard,19
Mark Holton,19
Mark Lewis,19
Mark Tandy,19
Marlene Warfield,19
Marnette Patterson,19
Marrian Walters,19
Martin Lawrence,19
Martin Murphy,19
Marty Zagon,19
Marvin Chatinover,19
Marvin Karon,19
Mary Alice,19
Mary Carroll,19
Mary Kate Ryan,19
Mary-Louise Parker,19
Mary Mara,19
Mary McLeod Bethune,19
Matthew Long,19
Matthew Walker,19
Matthias Freihof,19
Matthias Hues,19
Matt Malloy,19
Maureen Lipman,19
Melody Santangelo,19
Michael Ansara,19
Michael Beach,19
Michael Buffer,19
Michael Haley,19
Michael Hirsch,19
Michael Kearns,19
Michael Masters,19
Michael McCleery,19
Michael McShane,19
Michael P. Moran,19
Michael Rhoades,19
Michael Rougas,19
Michael Sarne,19
Michael Stoyanov,19
Michael Tucker (I),19
Michael Vincente Gazzo,19
Michael Ward,19
Mickey Martin,19
Mickey Simpson,19
Mickie T. McGowan,19
Miguel Bosé,19
Mike Fisher,19
Mike Gomez,19
Milt Kibbee,19
Mimmo Poli,19
Mr. T,19
Nadia Rona,19
Nancy Beatty,19
Nancy Giles,19
Natalie Canerday,19
Ned Dowd,19
Neville Phillips,19
Neyle Morrow,19
Nicholas Hawtrey,19
Nick Cravat,19
Nick Pellegrino,19
Nicole Kidman,19
Nicoletta Braschi,19
Nikolai Grinko,19
Noël Roquevert,19
Norman Matlock,19
Olaf Hytten,19
Ottola Nesmith,19
Pat Corley,19
Pat Crawford Brown,19
Patricia Arquette,19
Patricia Idlette,19
Patricia Lawrence,19
Patrick Field,19
Patrick Godfrey,19
Patrick O'Neill,19
Paul Butcher,19
Paul Koslo,19
Paul McVey,19
Paul Schulze,19
Pearl Shear,19
Peter Appel,19
Peter Benchley,19
Peter Berg,19
Peter Bourne,19
Peter Hutchinson,19
Peter Wyngarde,19
Phil Adams,19
Philip Gordon,19
Philip Proctor,19
Philip Ray,19
P.H. Moriarty,19
Phoebe Cates,19
Piero Lulli,19
Piero Morgia,19
Pierre Vernier,19
Queenie Leonard,19
Rachel Skarsten,19
Ralph E. Tresvant,19
Randy Travis,19
Raphael Sbarge,19
Ray Sharkey,19
Regina King,19
Richard Clifford,19
Richard Eastham,19
Richard Easton,19
Richard Hamilton,19
Richard Jutras,19
Richard Kind,19
Richard McMurray,19
Richard Mulligan,19
Richard Poe,19
Richard Schaal,19
Richard Wattis,19
Richard X. Slattery,19
Rich Komenich,19
Rick Ducommun,19
Rick Seaman,19
Rika Dialina,19
Rita Hayworth,19
Robert Beltran,19
Robert E. O'Connor,19
Robert Ginnaven,19
Robert Glaudini,19
Robert Hooks,19
Robert Miranda,19
Roberto Benigni,19
Robert O'Neill,19
Robert Rietty,19
Robyn Peterson,19
Rocco Sisto,19
Rocky Carroll,19
Roddy Piper,19
Roebuck "Pops" Staples,19
Roger Avon,19
Roger Guenveur Smith,19
Roger Sloman,19
Roland Bertin,19
Roland Varno,19
Romy Rosemont,19
Ronald Colman,19
Ron Cook,19
Ronnie Gilbert,19
Ron Ryan,19
Rose McGowan,19
Ross Elliott,19
Rudy De Luca,19
Russ Whiteman,19
Sabine Azéma,19
Saburo Date,19
Sade,19
Sam E. Wright,19
Sam Hennings,19
Sammo Hung Kam-Bo,19
Sam Rockwell,19
Samuel E. Wright,19
Sandrine Bonnaire,19
Sandy Ward,19
Sarah Crowden,19
Sasha von Scherler,19
Sasson Gabai,19
Scott Paulin,19
Sean Bean,19
Selina Cadell,19
Selma Archerd,19
Selmar Jackson,19
Seth Allen,19
Shabana Azmi,19
Shannen Doherty,19
Shannon Wilcox,19
Sharon Duce,19
Sheila Gish,19
Sheila McCarthy,19
Shephard Houghton,19
Sherman Howard,19
Sif Ruud,19
Simon Rhee,19
Sinead Cusack,19
Sofie Gråbøl,19
Soon-Tek Oh,19
Stacey Dash,19
Stanley "Tiny" Sandford,19
Stephane Freiss,19
Stephen Baldwin,19
Stephen Brennan,19
Stephen Churchett,19
Stephen Fry,19
Stephen Moore,19
Steve Lawrence,19
Steven Vidler,19
Steve Susskind,19
Steve Zurk,19
Studs Terkel,19
Susan Barnes,19
Susan Hayward,19
Susan Sullivan,19
Suzy Delair,19
Sylvia Kauders,19
Taiji Tonoyama,19
Taylor Negron,19
Tecla Scarano,19
Ted Jacques,19
Terri Hanauer,19
Terry David Mulligan,19
Terry Kinney,19
Tim Condren,19
Tim De Zarn,19
Tim Kelleher,19
Tim O'Connor,19
Timothy Kirk,19
Tim Seely,19
Todd Susman,19
Tomas Goros,19
